CountryCode,Year,GDPCapita,ForeignInvestment,LifeExpectancy,Population
PRI,2012,27944.73389,,78.461,3634488.0
PRI,2013,28513.16574,,78.777,3593077.0
PRI,2014,28981.45733,,78.929,3534874.0
PRI,2015,29763.4883,,79.695,3473232.0
PRI,2016,30627.1634,,80.27,3406672.0
PRI,2017,31108.75275,,79.258,3325286.0
PRI,2018,31615.06679,,79.77,3193354.0
PRI,2019,32916.8668,,79.063,3193694.0
PRI,2020,31427.42911,,78.041,3281557.0
PRI,2021,32619.25042,,80.162,3262693.0
PRI,2022,35268.0791,,79.72,3220113.0
PRI,2023,36779.05949,,,3205691.0
PRK,2000,,,60.763,23665910.0
PRK,2001,,,60.745,23815358.0
PRK,2002,,,60.792,23943973.0
PRK,2003,,,69.546,24090380.0
PRK,2004,,,69.437,24254943.0
PRK,2005,,,69.285,24396433.0
